"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"
70	24	1073	4	254.2	0.4	0.4	0
70	25	2281	2	464.2	0.6	0.6	0.2
70	26	1138	3	176.1	0.7	0.7	0.2
70	27	362	6	89.8	0.8	0.8	0.2
70	28	1881	6	311.6	0.6	0.6	0
70	29	1567	4	293.2	0.4	0.4	0.1
70	30	1083	2	252.8	0.6	0.6	0.1
70	31	548	2	128.8	0.7	0.7	0.4
70	32	807	1	159.2	0.6	0.6	0.1
70	33	1900	2	297.5	0.6	0.6	0.1
70	34	1347	6	332.6	0.6	0.6	0.2
70	35	679	1	115.1	0.6	0.6	0.3
70	36	356	4	78.5	0.8	0.8	0.3
70	37	1280	6	217	0.6	0.6	0.2
70	38	467	3	163.7	0.5	0.5	0.1
70	39	229	1	79.8	0.6	0.6	0.2
70	40	602	2	118.7	0.6	0.6	0.3
70	41	1274	4	295.4	0.7	0.7	0.2
70	42	801	3	200.8	0.7	0.7	0.3
70	43	1301	2	221.1	0.7	0.7	0.1
70	44	579	1	159.6	0.6	0.6	0.2
70	45	1304	6	181.1	0.6	0.6	0.1
70	46	619	5	131.4	0.8	0.8	0.4
70	47	1308	3	254.5	0.7	0.7	0.2
70	48	198	3	82.3	0.5	0.5	0.3
70	49	921	1	128.1	0.6	0.6	0.2
70	50	1051	2	266	0.6	0.6	0.1
70	51	1160	4	220.3	0.6	0.6	0.1
70	52	2167	5	316.4	0.7	0.7	0.4
70	53	1370	6	210.5	0.7	0.7	0.1
70	54	541	2	126.5	0.6	0.6	0.4
70	55	646	7	160.3	0.6	0.6	0.3
70	56	662	1	174.5	0.7	0.7	0.2
70	57	1190	6	251.1	0.7	0.7	0.5
70	58	1150	1	220	0.7	0.7	0.4
70	59	679	6	205.7	0.6	0.6	0.1
70	60	2644	2	281.3	0.8	0.8	0.5
70	61	370	5	113.3	0.7	0.7	0.3
70	62	210	1	66.2	0.7	0.7	0.5
70	63	1659	1	204.4	0.4	0.4	0.1
70	64	464	3	116.6	0.6	0.6	0.2
70	65	528	1	160.1	0.6	0.6	0.2
70	66	324	3	69.5	0.6	0.6	0.1
70	67	954	4	212	0.6	0.6	0.4
70	68	831	8	184.2	0.5	0.5	0.1
70	69	1412	8	389.2	0.7	0.7	0.2
70	70	1215	5	298	0.7	0.7	0.3
80	1	1351	1	201.6	0.6	0.6	0
80	2	2592	1	416.5	0.8	0.8	0
80	3	642	2	136.1	0.7	0.7	0
80	4	690	1	110.1	0.7	0.7	0
80	5	1914	1	322.9	0.7	0.7	0
80	6	453	1	110.7	0.7	0.7	0.2
80	7	1891	1	321.8	0.8	0.8	0.1
80	8	1509	1	314.7	0.7	0.7	0
80	9	764	2	153.5	0.6	0.6	0
80	10	579	2	124.1	0.6	0.6	0
80	11	1595	2	191.2	0.7	0.7	0
80	12	902	1	163	0.6	0.6	0
80	13	1008	2	123.1	0.8	0.8	0
80	14	767	1	161.4	0.6	0.6	0
80	15	580	2	125.5	0.6	0.6	0
80	16	350	3	64.6	0.7	0.7	0.1
80	17	1030	3	282	0.7	0.7	0.2
80	18	1233	4	171.6	0.6	0.6	0
80	19	289	2	73.4	0.7	0.7	0.2
80	20	616	4	184.7	0.7	0.7	0.1
80	21	816	3	115.7	0.7	0.7	0.1
80	22	724	3	185.5	0.7	0.7	0.1
80	23	98	1	40.9	0.6	0.6	0.2
80	24	597	1	167.9	0.7	0.7	0.3
80	25	1056	5	173.9	0.7	0.7	0.2
80	26	1061	7	192.3	0.5	0.5	0
80	27	633	2	186.5	0.6	0.6	0.4
80	28	1044	2	192	0.6	0.6	0.2
80	29	444	4	101.6	0.7	0.7	0.2
80	30	649	1	120	0.7	0.7	0.2
80	31	1045	4	179.8	0.7	0.7	0.1
80	32	636	7	162.5	0.6	0.6	0.1
80	33	820	6	169	0.6	0.6	0.2
80	34	639	4	153.6	0.7	0.7	0.3
80	35	411	2	123.2	0.7	0.7	0.4
80	36	1228	1	241.9	0.8	0.8	0.3
80	37	1731	1	274.3	0.6	0.6	0.2
80	38	381	5	134.7	0.6	0.6	0.2
80	39	514	7	129.6	0.7	0.7	0.2
80	40	574	2	99.3	0.6	0.6	0.2
80	41	1355	3	194	0.6	0.6	0.3
80	42	1415	9	196.2	0.6	0.6	0.3
80	43	858	3	143.1	0.6	0.6	0.1
80	44	281	4	89	0.6	0.6	0
80	45	603	2	120.4	0.6	0.6	0.1
80	46	263	12	72.8	0.7	0.7	0.3
80	47	232	3	70.2	0.6	0.6	0.2
80	48	265	2	82.1	0.7	0.7	0.3
80	49	1249	5	213.5	0.6	0.6	0.1
80	50	1973	6	308.6	0.6	0.6	0.2
80	51	994	3	215.7	0.6	0.6	0.2
80	52	1287	5	228.9	0.6	0.6	0.2
80	53	326	4	84.7	0.6	0.6	0.3
80	54	748	3	228.1	0.7	0.7	0.3
80	55	2209	6	569.7	0.6	0.6	0.3
80	56	461	3	137.7	0.7	0.7	0.5
80	57	458	7	112.8	0.6	0.6	0.2
80	58	622	5	150.1	0.5	0.5	0
80	59	630	2	126.7	0.8	0.8	0.3
80	60	632	6	159.9	0.6	0.6	0.2
80	61	636	2	192.3	0.5	0.5	0.2
80	62	978	14	217.5	0.6	0.6	0.1
80	63	636	6	195.1	0.6	0.6	0.2
80	64	1848	5	274.1	0.4	0.4	0.1
80	65	1183	4	248.8	0.6	0.6	0.1
80	66	385	4	81.1	0.6	0.6	0.3
80	67	286	4	78.4	0.7	0.7	0.4
80	68	354	7	82.6	0.6	0.6	0.1
80	69	472	4	99.8	0.5	0.5	0.3
80	70	1206	3	200.2	0.7	0.7	0.2
80	71	645	7	174.2	0.7	0.7	0.3
80	72	531	5	114.7	0.9	0.9	0.2
80	73	2077	4	378.5	0.7	0.7	0.3
80	74	323	5	123.2	0.5	0.5	0
80	75	576	4	103.8	0.5	0.5	0.2
80	76	1489	1	283.4	0.5	0.5	0.2
80	77	376	4	98.3	0.5	0.5	0.3
80	78	777	4	164.8	0.7	0.7	0.3
80	79	660	1	177.9	0.6	0.6	0.4
80	80	1871	6	232.8	0.7	0.7	0.5
90	1	840	1	136.5	0.6	0.6	0
