"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"	"Treatment"
60	57	549	1	117.6	0.7	0.7	0.1	"FSF"
60	58	1545	2	182.3	0.7	0.7	0.2	"FSF"
60	59	84	2	18.6	0.5	0.5	0.3	"FSF"
60	60	1285	3	217.5	0.8	0.8	0.4	"FSF"
70	1	1329	1	172.4	0.8	0.8	0	"FSF"
70	2	1091	1	134	0.8	0.8	0	"FSF"
70	3	457	1	84.2	0.8	0.8	0	"FSF"
70	4	367	1	45.8	0.9	0.9	0	"FSF"
70	5	493	1	73	0.8	0.8	0	"FSF"
70	6	589	1	76.1	0.8	0.8	0	"FSF"
70	7	421	1	89.7	0.7	0.7	0	"FSF"
70	8	469	1	72.6	0.8	0.8	0.1	"FSF"
70	9	447	1	74.4	0.8	0.8	0.2	"FSF"
70	10	630	1	142.5	0.7	0.7	0.2	"FSF"
70	11	473	1	56.3	0.9	0.9	0.1	"FSF"
70	12	401	2	55.9	0.8	0.8	0.1	"FSF"
70	13	807	2	97.5	0.8	0.8	0.1	"FSF"
70	14	1441	2	249.7	0.7	0.7	0	"FSF"
70	15	656	2	134.2	0.7	0.7	0	"FSF"
70	16	283	1	59.6	0.8	0.8	0.1	"FSF"
70	17	493	2	67.6	0.8	0.8	0.1	"FSF"
70	18	665	1	108.1	0.8	0.8	0.2	"FSF"
70	19	1075	1	224.1	0.8	0.8	0.3	"FSF"
70	20	769	1	136.9	0.8	0.8	0	"FSF"
70	21	1283	2	138.9	0.9	0.9	0.1	"FSF"
70	22	674	2	94.8	0.8	0.8	0	"FSF"
70	23	469	2	84	0.7	0.7	0.2	"FSF"
70	24	959	1	121.5	0.8	0.8	0.1	"FSF"
70	25	678	2	90.8	0.7	0.7	0.1	"FSF"
70	26	641	2	97.2	0.7	0.7	0.2	"FSF"
70	27	1097	3	160	0.8	0.8	0.1	"FSF"
70	28	1128	2	193.7	0.7	0.7	0.1	"FSF"
70	29	182	1	26	0.9	0.9	0.2	"FSF"
70	30	673	2	148.7	0.7	0.7	0.1	"FSF"
70	31	486	3	91.8	0.8	0.8	0.2	"FSF"
70	32	523	1	62.8	0.8	0.8	0.5	"FSF"
70	33	669	4	94.3	0.7	0.7	0.2	"FSF"
70	34	166	6	37.7	0.9	0.9	0.1	"FSF"
70	35	1344	2	206.3	0.8	0.8	0.3	"FSF"
70	36	1572	2	172.1	0.8	0.8	0.2	"FSF"
70	37	384	2	70	0.7	0.7	0.4	"FSF"
70	38	948	2	185	0.7	0.7	0.1	"FSF"
70	39	126	2	29.2	0.7	0.7	0.2	"FSF"
70	40	505	3	105.9	0.8	0.8	0.2	"FSF"
70	41	875	2	156.6	0.8	0.8	0.4	"FSF"
70	42	561	3	112.5	0.7	0.7	0.1	"FSF"
70	43	78	3	21.3	0.9	0.9	0	"FSF"
70	44	875	2	104.1	0.8	0.8	0.3	"FSF"
70	45	605	2	149.4	0.7	0.7	0.1	"FSF"
70	46	495	2	60.1	0.9	0.9	0.2	"FSF"
70	47	1166	1	185.7	0.7	0.7	0.2	"FSF"
70	48	735	3	110.5	0.7	0.7	0.1	"FSF"
70	49	364	2	84.3	0.7	0.7	0.3	"FSF"
70	50	571	5	99.9	0.7	0.7	0.2	"FSF"
70	51	983	1	120.5	0.7	0.7	0.4	"FSF"
70	52	1354	1	266	0.5	0.5	0.2	"FSF"
70	53	741	1	95	0.8	0.8	0.5	"FSF"
70	54	930	3	167.3	0.7	0.7	0.1	"FSF"
70	55	774	1	172.7	0.6	0.6	0.1	"FSF"
70	56	803	1	136.5	0.7	0.7	0.4	"FSF"
70	57	1473	1	269.8	0.5	0.5	0.4	"FSF"
70	58	1031	2	153.1	0.7	0.7	0.3	"FSF"
70	59	642	2	76.9	0.9	0.9	0.3	"FSF"
70	60	455	3	105.1	0.7	0.7	0.1	"FSF"
70	61	599	2	98.3	0.7	0.7	0.2	"FSF"
70	62	1706	4	224.1	0.7	0.7	0.2	"FSF"
70	63	376	2	67.8	0.8	0.8	0.3	"FSF"
70	64	569	1	84.1	0.7	0.7	0.3	"FSF"
70	65	1494	1	345	0.7	0.7	0.4	"FSF"
70	66	637	2	85.1	0.7	0.7	0.4	"FSF"
70	67	771	1	100.8	0.8	0.8	0.7	"FSF"
70	68	1218	2	135.5	0.8	0.8	0.2	"FSF"
70	69	572	1	142.6	0.7	0.7	0.2	"FSF"
70	70	1164	3	139.2	0.6	0.6	0.2	"FSF"
80	1	172	1	30.9	0.8	0.8	0	"FSF"
80	2	624	1	111.4	0.7	0.7	0	"FSF"
80	3	1132	1	167.1	0.8	0.8	0	"FSF"
80	4	1084	1	137.3	0.8	0.8	0	"FSF"
80	5	406	1	94.4	0.7	0.7	0.1	"FSF"
80	6	222	1	30	0.9	0.9	0	"FSF"
80	7	279	1	33.2	0.9	0.9	0.1	"FSF"
80	8	82	1	12.7	0.9	0.9	0.2	"FSF"
80	9	1507	1	164.3	0.7	0.7	0	"FSF"
80	10	248	2	39.6	0.8	0.8	0.1	"FSF"
80	11	84	1	18.4	0.8	0.8	0	"FSF"
80	12	1486	1	157.5	0.8	0.8	0.2	"FSF"
80	13	174	1	34	0.8	0.8	0.1	"FSF"
80	14	460	1	55.3	0.8	0.8	0	"FSF"
80	15	53	2	10.9	0.9	0.9	0	"FSF"
80	16	505	1	88.7	0.8	0.8	0.1	"FSF"
80	17	306	3	48.4	0.8	0.8	0.1	"FSF"
80	18	447	1	65.9	0.8	0.8	0.1	"FSF"
80	19	885	2	201.3	0.7	0.7	0.1	"FSF"
80	20	1567	2	436.4	0.7	0.7	0.1	"FSF"
80	21	1010	2	186.8	0.8	0.8	0.2	"FSF"
80	22	866	2	161.5	0.7	0.7	0.1	"FSF"
80	23	667	2	82.6	0.8	0.8	0.1	"FSF"
80	24	1487	1	156.8	0.9	0.9	0.2	"FSF"
80	25	2407	2	283.8	0.8	0.8	0.2	"FSF"
80	26	512	3	83.9	0.8	0.8	0.1	"FSF"
80	27	1201	2	154.6	0.7	0.7	0.1	"FSF"
80	28	1104	1	213.5	0.7	0.7	0.2	"FSF"
80	29	738	3	87.7	0.9	0.9	0.1	"FSF"
80	30	256	2	59.7	0.6	0.6	0.1	"FSF"
80	31	612	3	152	0.6	0.6	0.1	"FSF"
80	32	413	2	80.1	0.8	0.8	0.1	"FSF"
80	33	1433	3	376.9	0.7	0.7	0.2	"FSF"
80	34	673	1	182.3	0.7	0.7	0.4	"FSF"
80	35	512	1	64.2	0.8	0.8	0.1	"FSF"
80	36	514	2	112.5	0.8	0.8	0.3	"FSF"
80	37	1015	4	121.5	0.6	0.6	0	"FSF"
80	38	155	2	28.5	0.7	0.7	0.2	"FSF"
80	39	157	1	52.9	0.6	0.6	0.3	"FSF"
80	40	350	1	52.3	0.8	0.8	0.1	"FSF"
80	41	283	1	60.9	0.8	0.8	0.5	"FSF"
80	42	409	1	54.7	0.8	0.8	0.3	"FSF"
80	43	696	2	145.5	0.7	0.7	0	"FSF"
80	44	639	1	101.3	0.8	0.8	0.2	"FSF"
80	45	317	1	65.4	0.8	0.8	0.4	"FSF"
80	46	970	1	195.2	0.7	0.7	0.3	"FSF"
80	47	3347	2	428.9	0.7	0.7	0.1	"FSF"
80	48	1491	3	166.8	0.7	0.7	0.3	"FSF"
80	49	1321	4	216.9	0.6	0.6	0	"FSF"
80	50	668	1	161.7	0.6	0.6	0.4	"FSF"
80	51	951	4	140.9	0.8	0.8	0.1	"FSF"
80	52	1581	2	341.7	0.6	0.6	0.2	"FSF"
80	53	741	3	154.3	0.7	0.7	0.1	"FSF"
80	54	1424	1	204.7	0.7	0.7	0.4	"FSF"
80	55	815	5	136.6	0.8	0.8	0.3	"FSF"
80	56	459	3	92.3	0.7	0.7	0.3	"FSF"
80	57	750	3	148.6	0.7	0.7	0.5	"FSF"
80	58	887	2	120.8	0.8	0.8	0.2	"FSF"
80	59	1092	8	320	0.6	0.6	0	"FSF"
80	60	1277	3	245.7	0.6	0.6	0.1	"FSF"
80	61	1292	1	184.2	0.7	0.7	0.4	"FSF"
80	62	835	3	171.3	0.5	0.5	0.3	"FSF"
80	63	650	3	121	0.7	0.7	0.4	"FSF"
80	64	2097	6	294.2	0.7	0.7	0.3	"FSF"
80	65	690	1	191.9	0.5	0.5	0.1	"FSF"
80	66	455	4	118.3	0.7	0.7	0.2	"FSF"
80	67	670	5	178.1	0.7	0.7	0.2	"FSF"
80	68	801	7	128.4	0.7	0.7	0	"FSF"
80	69	203	1	49.8	0.7	0.7	0.4	"FSF"
80	70	1888	3	219.1	0.7	0.7	0.3	"FSF"
80	71	980	3	170.7	0.7	0.7	0.1	"FSF"
80	72	540	3	109.5	0.8	0.8	0.1	"FSF"
80	73	632	1	95.8	0.8	0.8	0.3	"FSF"
80	74	1941	3	360.8	0.7	0.7	0.1	"FSF"
80	75	307	7	91.6	0.6	0.6	0.2	"FSF"
80	76	448	5	92.7	0.6	0.6	0.2	"FSF"
80	77	1118	7	159.5	0.7	0.7	0.2	"FSF"
80	78	1424	5	255.2	0.5	0.5	0.3	"FSF"
80	79	193	1	45.9	0.8	0.8	0.4	"FSF"
80	80	2301	1	393.4	0.7	0.7	0.4	"FSF"
90	1	1246	1	147.6	0.8	0.8	0	"FSF"
90	2	1225	1	165.2	0.8	0.8	0	"FSF"
90	3	1336	1	198.1	0.8	0.8	0	"FSF"
90	4	67	1	11.1	0.8	0.8	0	"FSF"
90	5	635	1	112.3	0.8	0.8	0.1	"FSF"
90	6	318	1	101.5	0.7	0.7	0	"FSF"
90	7	599	1	107.6	0.7	0.7	0	"FSF"
90	8	1619	2	255.5	0.8	0.8	0	"FSF"
90	9	860	1	179.8	0.7	0.7	0	"FSF"
90	10	450	1	91.6	0.8	0.8	0.1	"FSF"
90	11	1075	2	286.7	0.7	0.7	0	"FSF"
90	12	465	1	71.2	0.6	0.6	0	"FSF"
90	13	1191	1	153	0.7	0.7	0.1	"FSF"
90	14	739	1	131.9	0.7	0.7	0.1	"FSF"
90	15	568	1	110.8	0.7	0.7	0	"FSF"
90	16	899	2	125.5	0.8	0.8	0.1	"FSF"
90	17	720	1	185.9	0.6	0.6	0.1	"FSF"
90	18	1804	2	190.1	0.9	0.9	0	"FSF"
90	19	126	2	25	0.9	0.9	0	"FSF"
90	20	486	1	85.7	0.8	0.8	0.3	"FSF"
90	21	281	1	54.3	0.8	0.8	0.3	"FSF"
90	22	938	3	213	0.7	0.7	0	"FSF"
90	23	1339	2	229.6	0.8	0.8	0.1	"FSF"
90	24	835	3	165.2	0.6	0.6	0	"FSF"
90	25	752	2	119.5	0.7	0.7	0.1	"FSF"
90	26	796	1	153.6	0.8	0.8	0.4	"FSF"
90	27	1208	3	210.6	0.8	0.8	0.2	"FSF"
90	28	205	3	35.1	0.9	0.9	0.2	"FSF"
90	29	129	2	28	0.6	0.6	0.1	"FSF"
90	30	1044	3	129	0.8	0.8	0.3	"FSF"
90	31	500	1	104.4	0.7	0.7	0.2	"FSF"
90	32	351	1	76.7	0.8	0.8	0.1	"FSF"
90	33	468	4	141.2	0.6	0.6	0.2	"FSF"
90	34	104	3	17.2	0.9	0.9	0.1	"FSF"
90	35	1322	2	174.8	0.6	0.6	0.1	"FSF"
90	36	371	5	91.5	0.7	0.7	0.1	"FSF"
90	37	1227	3	217.7	0.7	0.7	0	"FSF"
90	38	679	4	145.8	0.8	0.8	0.1	"FSF"
90	39	157	1	26.6	0.9	0.9	0.5	"FSF"
90	40	1401	2	159.7	0.8	0.8	0.1	"FSF"
90	41	722	1	113.4	0.6	0.6	0.3	"FSF"
90	42	448	2	75.3	0.7	0.7	0.3	"FSF"
90	43	624	5	162.9	0.7	0.7	0.3	"FSF"
90	44	175	5	39.9	0.8	0.8	0.1	"FSF"
90	45	319	2	80.2	0.8	0.8	0.3	"FSF"
90	46	690	2	124.4	0.7	0.7	0.1	"FSF"
