"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"	"Treatment"
140	48	7	2	7	"FSF"
140	49	6	1	6	"FSF"
140	50	8	2	8	"FSF"
140	51	8	3	8	"FSF"
140	52	6	2	6	"FSF"
140	53	8	4	8	"FSF"
140	54	7	4	7	"FSF"
140	55	7	3	7	"FSF"
140	56	8	1	8	"FSF"
140	57	8	3	8	"FSF"
140	58	6	3	6	"FSF"
140	59	6	3	6	"FSF"
140	60	7	2	7	"FSF"
140	61	6	1	6	"FSF"
140	62	8	3	8	"FSF"
140	63	7	2	7	"FSF"
140	64	7	3	7	"FSF"
140	65	7	2	7	"FSF"
140	66	6	2	6	"FSF"
140	67	7	1	7	"FSF"
140	68	8	5	8	"FSF"
140	69	5	2	5	"FSF"
140	70	7	1	7	"FSF"
140	71	7	1	7	"FSF"
140	72	8	2	8	"FSF"
140	73	5	2	5	"FSF"
140	74	9	3	9	"FSF"
140	75	5	1	5	"FSF"
140	76	8	3	8	"FSF"
140	77	6	1	6	"FSF"
140	78	7	3	7	"FSF"
140	79	7	5	7	"FSF"
140	80	8	4	8	"FSF"
140	81	6	2	6	"FSF"
140	82	7	3	7	"FSF"
140	83	8	3	8	"FSF"
140	84	6	4	6	"FSF"
140	85	6	2	6	"FSF"
140	86	8	5	8	"FSF"
140	87	7	2	7	"FSF"
140	88	5	1	5	"FSF"
140	89	6	2	6	"FSF"
140	90	7	4	7	"FSF"
140	91	6	2	6	"FSF"
140	92	6	2	6	"FSF"
140	93	7	3	7	"FSF"
140	94	7	3	7	"FSF"
140	95	6	3	6	"FSF"
140	96	7	3	7	"FSF"
140	97	7	4	7	"FSF"
140	98	7	6	7	"FSF"
140	99	8	5	8	"FSF"
140	100	6	4	6	"FSF"
140	101	5	1	5	"FSF"
140	102	7	4	7	"FSF"
140	103	7	3	7	"FSF"
140	104	6	3	6	"FSF"
140	105	7	4	7	"FSF"
140	106	7	3	7	"FSF"
140	107	7	4	7	"FSF"
140	108	8	6	8	"FSF"
140	109	7	3	7	"FSF"
140	110	7	1	7	"FSF"
140	111	6	4	6	"FSF"
140	112	5	2	5	"FSF"
140	113	7	3	7	"FSF"
140	114	7	5	7	"FSF"
140	115	7	4	7	"FSF"
140	116	6	5	6	"FSF"
140	117	7	2	7	"FSF"
140	118	8	2	8	"FSF"
140	119	8	5	8	"FSF"
140	120	7	2	7	"FSF"
140	121	6	4	6	"FSF"
140	122	6	3	6	"FSF"
140	123	7	4	7	"FSF"
140	124	5	4	5	"FSF"
140	125	8	6	8	"FSF"
140	126	5	3	5	"FSF"
140	127	7	3	7	"FSF"
140	128	7	3	7	"FSF"
140	129	8	4	8	"FSF"
140	130	7	2	7	"FSF"
140	131	7	5	7	"FSF"
140	132	7	1	7	"FSF"
140	133	7	4	7	"FSF"
140	134	7	4	7	"FSF"
140	135	4	2	4	"FSF"
140	136	6	3	6	"FSF"
140	137	6	4	6	"FSF"
140	138	6	4	6	"FSF"
140	139	7	1	7	"FSF"
140	140	9	4	9	"FSF"
150	1	8	0	8	"FSF"
150	2	9	0	9	"FSF"
150	3	9	0	9	"FSF"
150	4	7	0	7	"FSF"
150	5	8	0	8	"FSF"
150	6	8	0	8	"FSF"
150	7	8	0	8	"FSF"
150	8	8	2	8	"FSF"
150	9	7	1	7	"FSF"
150	10	7	0	7	"FSF"
150	11	8	0	8	"FSF"
150	12	7	2	7	"FSF"
150	13	7	1	7	"FSF"
150	14	8	1	8	"FSF"
150	15	8	1	8	"FSF"
150	16	9	1	9	"FSF"
150	17	8	2	8	"FSF"
150	18	7	1	7	"FSF"
150	19	8	0	8	"FSF"
150	20	7	1	7	"FSF"
150	21	8	3	8	"FSF"
150	22	7	3	7	"FSF"
150	23	7	1	7	"FSF"
150	24	8	0	8	"FSF"
150	25	8	2	8	"FSF"
150	26	8	0	8	"FSF"
150	27	6	2	6	"FSF"
150	28	8	0	8	"FSF"
150	29	7	1	7	"FSF"
150	30	7	0	7	"FSF"
150	31	7	1	7	"FSF"
150	32	8	2	8	"FSF"
150	33	9	3	9	"FSF"
150	34	7	3	7	"FSF"
150	35	6	2	6	"FSF"
150	36	8	2	8	"FSF"
150	37	7	1	7	"FSF"
150	38	7	3	7	"FSF"
150	39	7	1	7	"FSF"
150	40	7	2	7	"FSF"
150	41	8	4	8	"FSF"
150	42	7	0	7	"FSF"
150	43	8	1	8	"FSF"
150	44	7	3	7	"FSF"
150	45	7	1	7	"FSF"
150	46	7	4	7	"FSF"
150	47	8	1	8	"FSF"
150	48	8	5	8	"FSF"
150	49	7	2	7	"FSF"
150	50	6	2	6	"FSF"
150	51	7	2	7	"FSF"
150	52	7	0	7	"FSF"
150	53	8	3	8	"FSF"
150	54	7	4	7	"FSF"
150	55	6	1	6	"FSF"
150	56	6	2	6	"FSF"
150	57	7	2	7	"FSF"
150	58	8	5	8	"FSF"
150	59	8	2	8	"FSF"
150	60	8	4	8	"FSF"
150	61	7	3	7	"FSF"
150	62	8	2	8	"FSF"
150	63	7	3	7	"FSF"
150	64	8	3	8	"FSF"
150	65	7	1	7	"FSF"
150	66	9	5	9	"FSF"
150	67	6	2	6	"FSF"
150	68	7	2	7	"FSF"
150	69	7	4	7	"FSF"
150	70	7	4	7	"FSF"
150	71	7	2	7	"FSF"
150	72	6	3	6	"FSF"
150	73	6	3	6	"FSF"
150	74	6	2	6	"FSF"
150	75	5	2	5	"FSF"
150	76	8	2	8	"FSF"
150	77	7	1	7	"FSF"
150	78	7	3	7	"FSF"
150	79	6	2	6	"FSF"
150	80	5	0	5	"FSF"
150	81	5	1	5	"FSF"
150	82	7	2	7	"FSF"
150	83	7	2	7	"FSF"
150	84	7	2	7	"FSF"
150	85	7	5	7	"FSF"
150	86	6	4	6	"FSF"
150	87	7	4	7	"FSF"
150	88	7	2	7	"FSF"
150	89	7	3	7	"FSF"
150	90	7	5	7	"FSF"
150	91	5	0	5	"FSF"
150	92	7	4	7	"FSF"
150	93	7	5	7	"FSF"
150	94	7	4	7	"FSF"
150	95	7	1	7	"FSF"
150	96	8	3	8	"FSF"
150	97	6	5	6	"FSF"
150	98	7	1	7	"FSF"
150	99	7	0	7	"FSF"
150	100	6	3	6	"FSF"
150	101	6	2	6	"FSF"
150	102	9	4	9	"FSF"
150	103	7	3	7	"FSF"
150	104	6	3	6	"FSF"
150	105	6	2	6	"FSF"
150	106	7	2	7	"FSF"
150	107	8	4	8	"FSF"
150	108	8	1	8	"FSF"
150	109	6	2	6	"FSF"
150	110	7	3	7	"FSF"
150	111	6	4	6	"FSF"
150	112	7	5	7	"FSF"
150	113	7	6	7	"FSF"
150	114	6	5	6	"FSF"
150	115	7	2	7	"FSF"
150	116	8	5	8	"FSF"
150	117	4	2	4	"FSF"
150	118	6	2	6	"FSF"
150	119	7	3	7	"FSF"
150	120	6	2	6	"FSF"
150	121	7	4	7	"FSF"
150	122	7	4	7	"FSF"
150	123	7	4	7	"FSF"
150	124	7	6	7	"FSF"
150	125	7	3	7	"FSF"
150	126	7	2	7	"FSF"
150	127	8	6	8	"FSF"
150	128	6	2	6	"FSF"
150	129	7	3	7	"FSF"
150	130	7	3	7	"FSF"
150	131	8	5	8	"FSF"
150	132	6	3	6	"FSF"
150	133	5	4	5	"FSF"
150	134	8	3	8	"FSF"
150	135	8	5	8	"FSF"
150	136	8	6	8	"FSF"
150	137	6	4	6	"FSF"
150	138	8	6	8	"FSF"
150	139	7	4	7	"FSF"
150	140	6	3	6	"FSF"
150	141	7	2	7	"FSF"
150	142	8	5	8	"FSF"
150	143	7	5	7	"FSF"
150	144	6	4	6	"FSF"
150	145	8	2	8	"FSF"
150	146	7	2	7	"FSF"
150	147	6	3	6	"FSF"
150	148	6	3	6	"FSF"
150	149	6	1	6	"FSF"
150	150	8	5	8	"FSF"
160	1	8	0	8	"FSF"
160	2	8	0	8	"FSF"
160	3	8	0	8	"FSF"
160	4	6	0	6	"FSF"
160	5	7	0	7	"FSF"
160	6	8	0	8	"FSF"
160	7	9	0	9	"FSF"
160	8	8	1	8	"FSF"
160	9	8	2	8	"FSF"
160	10	7	0	7	"FSF"
160	11	8	0	8	"FSF"
160	12	6	0	6	"FSF"
160	13	8	0	8	"FSF"
160	14	8	0	8	"FSF"
160	15	8	0	8	"FSF"
160	16	7	1	7	"FSF"
160	17	8	1	8	"FSF"
160	18	7	0	7	"FSF"
160	19	9	1	9	"FSF"
160	20	8	1	8	"FSF"
160	21	8	2	8	"FSF"
160	22	8	3	8	"FSF"
160	23	7	1	7	"FSF"
160	24	7	2	7	"FSF"
160	25	7	1	7	"FSF"
160	26	8	2	8	"FSF"
160	27	7	0	7	"FSF"
160	28	8	1	8	"FSF"
160	29	8	2	8	"FSF"
160	30	8	2	8	"FSF"
160	31	7	3	7	"FSF"
160	32	8	1	8	"FSF"
160	33	8	0	8	"FSF"
160	34	8	2	8	"FSF"
160	35	6	2	6	"FSF"
160	36	6	3	6	"FSF"
160	37	7	2	7	"FSF"
160	38	7	2	7	"FSF"
160	39	8	1	8	"FSF"
160	40	7	2	7	"FSF"
160	41	6	2	6	"FSF"
160	42	9	2	9	"FSF"
160	43	6	2	6	"FSF"
160	44	8	2	8	"FSF"
160	45	7	2	7	"FSF"
160	46	8	3	8	"FSF"
160	47	6	1	6	"FSF"
160	48	7	2	7	"FSF"
160	49	8	3	8	"FSF"
160	50	9	4	9	"FSF"
160	51	9	6	9	"FSF"
160	52	8	3	8	"FSF"
160	53	8	2	8	"FSF"
160	54	7	2	7	"FSF"
160	55	6	1	6	"FSF"
160	56	6	2	6	"FSF"
160	57	6	3	6	"FSF"
160	58	8	3	8	"FSF"
160	59	3	2	3	"FSF"
160	60	7	2	7	"FSF"
160	61	5	1	5	"FSF"
160	62	7	1	7	"FSF"
160	63	7	3	7	"FSF"
160	64	7	4	7	"FSF"
160	65	7	0	7	"FSF"
160	66	7	3	7	"FSF"
160	67	6	4	6	"FSF"
160	68	8	3	8	"FSF"
160	69	6	1	6	"FSF"
160	70	7	3	7	"FSF"
160	71	6	1	6	"FSF"
160	72	7	2	7	"FSF"
160	73	8	2	8	"FSF"
160	74	6	1	6	"FSF"
160	75	7	2	7	"FSF"
160	76	6	2	6	"FSF"
160	77	7	3	7	"FSF"
160	78	7	3	7	"FSF"
160	79	6	2	6	"FSF"
160	80	7	4	7	"FSF"
160	81	7	4	7	"FSF"
160	82	5	4	5	"FSF"
160	83	8	3	8	"FSF"
160	84	6	3	6	"FSF"
160	85	5	2	5	"FSF"
160	86	7	2	7	"FSF"
160	87	7	2	7	"FSF"
160	88	6	5	6	"FSF"
160	89	8	3	8	"FSF"
160	90	5	1	5	"FSF"
160	91	7	5	7	"FSF"
160	92	6	1	6	"FSF"
160	93	7	4	7	"FSF"
160	94	6	4	6	"FSF"
160	95	5	1	5	"FSF"
160	96	6	1	6	"FSF"
160	97	8	5	8	"FSF"
160	98	7	5	7	"FSF"
160	99	6	2	6	"FSF"
160	100	7	3	7	"FSF"
160	101	6	2	6	"FSF"
160	102	8	5	8	"FSF"
160	103	7	3	7	"FSF"
160	104	7	2	7	"FSF"
160	105	6	4	6	"FSF"
160	106	6	2	6	"FSF"
160	107	7	1	7	"FSF"
160	108	6	2	6	"FSF"
160	109	6	2	6	"FSF"
160	110	8	4	8	"FSF"
160	111	9	5	9	"FSF"
160	112	7	1	7	"FSF"
160	113	6	4	6	"FSF"
160	114	6	4	6	"FSF"
160	115	4	2	4	"FSF"
160	116	6	3	6	"FSF"
160	117	6	2	6	"FSF"
160	118	6	3	6	"FSF"
160	119	6	3	6	"FSF"
160	120	8	3	8	"FSF"
160	121	8	3	8	"FSF"
160	122	6	2	6	"FSF"
160	123	5	1	5	"FSF"
160	124	5	2	5	"FSF"
160	125	7	3	7	"FSF"
160	126	7	3	7	"FSF"
160	127	8	6	8	"FSF"
160	128	7	6	7	"FSF"
160	129	6	3	6	"FSF"
160	130	6	2	6	"FSF"
160	131	7	3	7	"FSF"
160	132	5	2	5	"FSF"
160	133	6	2	6	"FSF"
160	134	7	4	7	"FSF"
160	135	7	5	7	"FSF"
160	136	5	3	5	"FSF"
160	137	7	4	7	"FSF"
160	138	7	2	7	"FSF"
160	139	7	6	7	"FSF"
160	140	7	2	7	"FSF"
160	141	6	1	6	"FSF"
160	142	5	2	5	"FSF"
160	143	6	3	6	"FSF"
160	144	6	6	6	"FSF"
160	145	8	5	8	"FSF"
160	146	8	6	8	"FSF"
160	147	7	4	7	"FSF"
160	148	5	3	5	"FSF"
160	149	7	3	7	"FSF"
160	150	7	5	7	"FSF"
160	151	7	3	7	"FSF"
160	152	7	6	7	"FSF"
160	153	8	4	8	"FSF"
160	154	7	3	7	"FSF"
160	155	6	5	6	"FSF"
160	156	6	5	6	"FSF"
160	157	6	5	6	"FSF"
160	158	7	3	7	"FSF"
160	159	7	4	7	"FSF"
160	160	6	3	6	"FSF"
170	1	9	0	9	"FSF"
170	2	8	0	8	"FSF"
170	3	7	0	7	"FSF"
170	4	8	0	8	"FSF"
170	5	9	0	9	"FSF"
170	6	8	0	8	"FSF"
170	7	7	0	7	"FSF"
170	8	6	0	6	"FSF"
170	9	8	1	8	"FSF"
170	10	8	0	8	"FSF"
170	11	9	3	9	"FSF"
170	12	8	0	8	"FSF"
170	13	8	2	8	"FSF"
170	14	7	2	7	"FSF"
170	15	7	1	7	"FSF"
170	16	8	1	8	"FSF"
170	17	8	2	8	"FSF"
170	18	8	2	8	"FSF"
170	19	6	2	6	"FSF"
170	20	8	2	8	"FSF"
170	21	8	2	8	"FSF"
170	22	8	0	8	"FSF"
170	23	8	3	8	"FSF"
170	24	7	0	7	"FSF"
170	25	9	2	9	"FSF"
170	26	8	1	8	"FSF"
170	27	8	4	8	"FSF"
170	28	7	3	7	"FSF"
170	29	6	1	6	"FSF"
170	30	8	2	8	"FSF"
170	31	8	3	8	"FSF"
170	32	8	1	8	"FSF"
170	33	8	5	8	"FSF"
170	34	9	2	9	"FSF"
170	35	6	3	6	"FSF"
170	36	7	1	7	"FSF"
170	37	7	3	7	"FSF"
170	38	8	2	8	"FSF"
170	39	7	1	7	"FSF"
170	40	8	3	8	"FSF"
170	41	7	1	7	"FSF"
170	42	7	3	7	"FSF"
170	43	8	3	8	"FSF"
170	44	7	1	7	"FSF"
170	45	7	0	7	"FSF"
170	46	8	5	8	"FSF"
170	47	7	3	7	"FSF"
170	48	7	3	7	"FSF"
170	49	7	2	7	"FSF"
170	50	7	1	7	"FSF"
170	51	7	3	7	"FSF"
170	52	8	1	8	"FSF"
170	53	7	2	7	"FSF"
170	54	7	2	7	"FSF"
170	55	7	4	7	"FSF"
170	56	5	1	5	"FSF"
170	57	7	2	7	"FSF"
170	58	8	1	8	"FSF"
170	59	8	3	8	"FSF"
170	60	8	3	8	"FSF"
170	61	6	1	6	"FSF"
170	62	7	4	7	"FSF"
170	63	7	5	7	"FSF"
170	64	8	4	8	"FSF"
170	65	9	4	9	"FSF"
170	66	8	3	8	"FSF"
170	67	7	4	7	"FSF"
170	68	6	2	6	"FSF"
170	69	7	3	7	"FSF"
170	70	9	3	9	"FSF"
170	71	7	2	7	"FSF"
170	72	7	1	7	"FSF"
170	73	8	4	8	"FSF"
170	74	7	1	7	"FSF"
170	75	5	3	5	"FSF"
170	76	7	2	7	"FSF"
170	77	6	2	6	"FSF"
170	78	6	3	6	"FSF"
170	79	7	2	7	"FSF"
170	80	7	2	7	"FSF"
170	81	7	1	7	"FSF"
170	82	7	4	7	"FSF"
170	83	7	3	7	"FSF"
170	84	8	5	8	"FSF"
170	85	7	2	7	"FSF"
170	86	7	3	7	"FSF"
170	87	8	4	8	"FSF"
170	88	6	2	6	"FSF"
170	89	7	4	7	"FSF"
170	90	5	3	5	"FSF"
170	91	6	2	6	"FSF"
170	92	6	2	6	"FSF"
170	93	7	2	7	"FSF"
170	94	6	3	6	"FSF"
170	95	7	3	7	"FSF"
170	96	6	3	6	"FSF"
170	97	7	3	7	"FSF"
170	98	7	3	7	"FSF"
170	99	7	3	7	"FSF"
170	100	7	2	7	"FSF"
170	101	7	4	7	"FSF"
170	102	6	3	6	"FSF"
170	103	7	5	7	"FSF"
170	104	7	4	7	"FSF"
170	105	7	4	7	"FSF"
170	106	8	5	8	"FSF"
170	107	6	3	6	"FSF"
170	108	7	4	7	"FSF"
170	109	7	6	7	"FSF"
170	110	8	2	8	"FSF"
170	111	8	5	8	"FSF"
170	112	7	3	7	"FSF"
170	113	7	3	7	"FSF"
170	114	5	0	5	"FSF"
170	115	7	3	7	"FSF"
170	116	6	3	6	"FSF"
170	117	7	4	7	"FSF"
170	118	8	4	8	"FSF"
170	119	6	3	6	"FSF"
170	120	7	5	7	"FSF"
170	121	7	4	7	"FSF"
170	122	7	3	7	"FSF"
170	123	7	3	7	"FSF"
170	124	8	6	8	"FSF"
170	125	8	5	8	"FSF"
170	126	6	4	6	"FSF"
170	127	7	4	7	"FSF"
170	128	7	3	7	"FSF"
170	129	8	1	8	"FSF"
170	130	6	3	6	"FSF"
170	131	7	4	7	"FSF"
170	132	7	2	7	"FSF"
170	133	6	2	6	"FSF"
170	134	6	3	6	"FSF"
170	135	7	4	7	"FSF"
170	136	7	2	7	"FSF"
170	137	7	4	7	"FSF"
170	138	6	2	6	"FSF"
170	139	7	4	7	"FSF"
170	140	7	3	7	"FSF"
170	141	7	5	7	"FSF"
170	142	6	2	6	"FSF"
170	143	7	5	7	"FSF"
170	144	6	2	6	"FSF"
170	145	7	4	7	"FSF"
170	146	7	3	7	"FSF"
170	147	8	4	8	"FSF"
170	148	8	4	8	"FSF"
170	149	6	2	6	"FSF"
170	150	6	1	6	"FSF"
170	151	7	4	7	"FSF"
170	152	5	2	5	"FSF"
170	153	7	4	7	"FSF"
170	154	7	4	7	"FSF"
170	155	7	5	7	"FSF"
170	156	8	4	8	"FSF"
170	157	6	2	6	"FSF"
170	158	7	3	7	"FSF"
170	159	7	4	7	"FSF"
170	160	7	3	7	"FSF"
170	161	6	4	6	"FSF"
170	162	5	3	5	"FSF"
170	163	5	2	5	"FSF"
170	164	6	4	6	"FSF"
170	165	7	5	7	"FSF"
170	166	6	1	6	"FSF"
170	167	6	5	6	"FSF"
170	168	7	4	7	"FSF"
170	169	7	6	7	"FSF"
170	170	7	6	7	"FSF"
180	1	7	0	7	"FSF"
180	2	9	0	9	"FSF"
180	3	8	1	8	"FSF"
180	4	9	0	9	"FSF"
180	5	8	0	8	"FSF"
180	6	8	0	8	"FSF"
180	7	8	0	8	"FSF"
180	8	8	1	8	"FSF"
180	9	8	0	8	"FSF"
180	10	8	1	8	"FSF"
180	11	9	1	9	"FSF"
180	12	8	0	8	"FSF"
180	13	8	0	8	"FSF"
180	14	8	0	8	"FSF"
180	15	7	1	7	"FSF"
180	16	8	0	8	"FSF"
180	17	7	1	7	"FSF"
180	18	7	2	7	"FSF"
180	19	6	2	6	"FSF"
180	20	5	2	5	"FSF"
180	21	8	2	8	"FSF"
180	22	6	1	6	"FSF"
180	23	8	1	8	"FSF"
180	24	8	0	8	"FSF"
180	25	7	2	7	"FSF"
180	26	8	0	8	"FSF"
180	27	8	1	8	"FSF"
180	28	8	1	8	"FSF"
180	29	7	1	7	"FSF"
180	30	7	2	7	"FSF"
180	31	8	2	8	"FSF"
180	32	8	3	8	"FSF"
180	33	6	1	6	"FSF"
180	34	8	1	8	"FSF"
180	35	8	0	8	"FSF"
180	36	8	4	8	"FSF"
180	37	7	4	7	"FSF"
180	38	7	2	7	"FSF"
180	39	7	2	7	"FSF"
180	40	7	2	7	"FSF"
180	41	8	1	8	"FSF"
180	42	7	2	7	"FSF"
180	43	8	1	8	"FSF"
180	44	7	1	7	"FSF"
180	45	7	1	7	"FSF"
180	46	6	1	6	"FSF"
180	47	7	2	7	"FSF"
180	48	7	2	7	"FSF"
180	49	7	1	7	"FSF"
180	50	8	2	8	"FSF"
180	51	6	3	6	"FSF"
180	52	8	3	8	"FSF"
180	53	9	6	9	"FSF"
180	54	7	1	7	"FSF"
180	55	8	3	8	"FSF"
180	56	8	2	8	"FSF"
180	57	7	2	7	"FSF"
180	58	8	2	8	"FSF"
180	59	7	3	7	"FSF"
180	60	7	5	7	"FSF"
180	61	7	1	7	"FSF"
180	62	8	5	8	"FSF"
180	63	7	2	7	"FSF"
180	64	7	4	7	"FSF"
180	65	7	2	7	"FSF"
180	66	6	0	6	"FSF"
180	67	8	5	8	"FSF"
180	68	6	3	6	"FSF"
180	69	8	2	8	"FSF"
180	70	7	3	7	"FSF"
180	71	6	1	6	"FSF"
180	72	8	2	8	"FSF"
180	73	4	2	4	"FSF"
180	74	7	4	7	"FSF"
180	75	7	2	7	"FSF"
180	76	8	5	8	"FSF"
180	77	6	3	6	"FSF"
180	78	7	3	7	"FSF"
180	79	7	4	7	"FSF"
180	80	7	4	7	"FSF"
180	81	6	0	6	"FSF"
180	82	7	1	7	"FSF"
180	83	7	3	7	"FSF"
180	84	6	6	6	"FSF"
180	85	8	3	8	"FSF"
180	86	7	2	7	"FSF"
180	87	7	4	7	"FSF"
180	88	6	1	6	"FSF"
180	89	5	2	5	"FSF"
180	90	8	5	8	"FSF"
180	91	7	3	7	"FSF"
180	92	7	2	7	"FSF"
180	93	8	2	8	"FSF"
180	94	9	4	9	"FSF"
180	95	7	4	7	"FSF"
180	96	5	3	5	"FSF"
180	97	8	4	8	"FSF"
180	98	7	1	7	"FSF"
180	99	8	3	8	"FSF"
180	100	6	2	6	"FSF"
180	101	6	3	6	"FSF"
180	102	7	7	7	"FSF"
180	103	7	4	7	"FSF"
180	104	8	6	8	"FSF"
180	105	6	2	6	"FSF"
180	106	7	4	7	"FSF"
180	107	7	5	7	"FSF"
180	108	8	5	8	"FSF"
180	109	6	3	6	"FSF"
180	110	6	2	6	"FSF"
180	111	8	2	8	"FSF"
180	112	7	2	7	"FSF"
180	113	6	2	6	"FSF"
180	114	6	4	6	"FSF"
180	115	7	4	7	"FSF"
180	116	7	4	7	"FSF"
180	117	8	4	8	"FSF"
180	118	7	5	7	"FSF"
180	119	6	3	6	"FSF"
180	120	6	5	6	"FSF"
180	121	6	1	6	"FSF"
180	122	8	3	8	"FSF"
180	123	7	5	7	"FSF"
180	124	6	2	6	"FSF"
180	125	6	2	6	"FSF"
180	126	6	0	6	"FSF"
180	127	8	3	8	"FSF"
180	128	7	2	7	"FSF"
180	129	6	4	6	"FSF"
180	130	5	3	5	"FSF"
180	131	7	6	7	"FSF"
180	132	5	3	5	"FSF"
180	133	6	3	6	"FSF"
180	134	8	4	8	"FSF"
180	135	7	4	7	"FSF"
180	136	7	3	7	"FSF"
180	137	7	2	7	"FSF"
180	138	5	2	5	"FSF"
180	139	7	3	7	"FSF"
180	140	7	4	7	"FSF"
180	141	8	5	8	"FSF"
180	142	7	2	7	"FSF"
180	143	8	5	8	"FSF"
180	144	6	4	6	"FSF"
180	145	7	3	7	"FSF"
180	146	8	4	8	"FSF"
180	147	7	5	7	"FSF"
180	148	6	2	6	"FSF"
180	149	8	5	8	"FSF"
180	150	8	3	8	"FSF"
180	151	6	3	6	"FSF"
180	152	7	3	7	"FSF"
180	153	7	5	7	"FSF"
180	154	7	4	7	"FSF"
180	155	6	6	6	"FSF"
180	156	8	4	8	"FSF"
180	157	8	4	8	"FSF"
180	158	6	2	6	"FSF"
180	159	6	3	6	"FSF"
180	160	7	3	7	"FSF"
180	161	7	4	7	"FSF"
180	162	6	1	6	"FSF"
180	163	7	4	7	"FSF"
180	164	6	4	6	"FSF"
180	165	8	4	8	"FSF"
180	166	7	4	7	"FSF"
180	167	6	2	6	"FSF"
180	168	9	4	9	"FSF"
180	169	7	4	7	"FSF"
180	170	7	4	7	"FSF"
180	171	7	4	7	"FSF"
180	172	7	3	7	"FSF"
180	173	8	6	8	"FSF"
180	174	7	5	7	"FSF"
180	175	7	5	7	"FSF"
180	176	6	2	6	"FSF"
180	177	7	6	7	"FSF"
180	178	7	2	7	"FSF"
180	179	6	5	6	"FSF"
180	180	7	7	7	"FSF"
190	1	8	0	8	"FSF"
190	2	7	0	7	"FSF"
190	3	8	0	8	"FSF"
190	4	8	0	8	"FSF"
190	5	9	1	9	"FSF"
190	6	8	0	8	"FSF"
190	7	8	0	8	"FSF"
190	8	8	0	8	"FSF"
190	9	7	0	7	"FSF"
190	10	8	1	8	"FSF"
190	11	8	2	8	"FSF"
190	12	7	0	7	"FSF"
190	13	8	0	8	"FSF"
190	14	7	2	7	"FSF"
190	15	9	0	9	"FSF"
190	16	9	2	9	"FSF"
190	17	7	2	7	"FSF"
190	18	8	0	8	"FSF"
190	19	8	1	8	"FSF"
190	20	7	0	7	"FSF"
190	21	8	1	8	"FSF"
190	22	7	1	7	"FSF"
190	23	6	0	6	"FSF"
190	24	8	1	8	"FSF"
190	25	8	1	8	"FSF"
190	26	8	1	8	"FSF"
190	27	9	0	9	"FSF"
190	28	7	3	7	"FSF"
190	29	8	2	8	"FSF"
190	30	8	1	8	"FSF"
190	31	7	1	7	"FSF"
190	32	6	3	6	"FSF"
190	33	7	1	7	"FSF"
190	34	7	2	7	"FSF"
190	35	8	5	8	"FSF"
190	36	8	2	8	"FSF"
190	37	8	3	8	"FSF"
190	38	8	2	8	"FSF"
190	39	8	2	8	"FSF"
190	40	7	3	7	"FSF"
190	41	7	3	7	"FSF"
190	42	7	0	7	"FSF"
190	43	8	5	8	"FSF"
190	44	7	2	7	"FSF"
190	45	8	3	8	"FSF"
190	46	6	2	6	"FSF"
190	47	8	2	8	"FSF"
190	48	7	1	7	"FSF"
190	49	7	4	7	"FSF"
190	50	8	4	8	"FSF"
190	51	7	2	7	"FSF"
190	52	5	1	5	"FSF"
190	53	8	2	8	"FSF"
190	54	8	2	8	"FSF"
190	55	8	1	8	"FSF"
190	56	6	1	6	"FSF"
190	57	6	1	6	"FSF"
190	58	7	4	7	"FSF"
190	59	7	3	7	"FSF"
190	60	6	2	6	"FSF"
190	61	7	2	7	"FSF"
190	62	6	3	6	"FSF"
190	63	7	4	7	"FSF"
190	64	7	1	7	"FSF"
190	65	7	2	7	"FSF"
190	66	7	2	7	"FSF"
190	67	6	2	6	"FSF"
190	68	8	2	8	"FSF"
190	69	8	1	8	"FSF"
190	70	7	3	7	"FSF"
190	71	7	3	7	"FSF"
190	72	7	1	7	"FSF"
190	73	7	4	7	"FSF"
190	74	8	3	8	"FSF"
190	75	7	3	7	"FSF"
190	76	6	5	6	"FSF"
190	77	7	3	7	"FSF"
190	78	8	3	8	"FSF"
190	79	6	1	6	"FSF"
190	80	7	3	7	"FSF"
190	81	8	4	8	"FSF"
190	82	8	4	8	"FSF"
190	83	7	4	7	"FSF"
190	84	7	5	7	"FSF"
190	85	7	2	7	"FSF"
190	86	7	2	7	"FSF"
190	87	8	3	8	"FSF"
190	88	8	3	8	"FSF"
190	89	6	3	6	"FSF"
190	90	5	2	5	"FSF"
190	91	7	5	7	"FSF"
190	92	8	2	8	"FSF"
190	93	7	3	7	"FSF"
190	94	6	3	6	"FSF"
190	95	6	4	6	"FSF"
190	96	8	5	8	"FSF"
190	97	6	3	6	"FSF"
190	98	6	2	6	"FSF"
190	99	7	2	7	"FSF"
190	100	7	2	7	"FSF"
190	101	7	1	7	"FSF"
190	102	8	5	8	"FSF"
190	103	7	6	7	"FSF"
190	104	8	4	8	"FSF"
190	105	7	5	7	"FSF"
190	106	6	4	6	"FSF"
190	107	7	5	7	"FSF"
190	108	7	2	7	"FSF"
190	109	9	6	9	"FSF"
190	110	7	4	7	"FSF"
190	111	7	2	7	"FSF"
190	112	7	3	7	"FSF"
190	113	7	0	7	"FSF"
190	114	8	5	8	"FSF"
190	115	6	3	6	"FSF"
190	116	5	1	5	"FSF"
190	117	6	3	6	"FSF"
190	118	7	3	7	"FSF"
190	119	6	3	6	"FSF"
