"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"
100	66	9	5	9
100	67	8	5	8
100	68	6	2	6
100	69	8	4	8
100	70	8	3	8
100	71	7	1	7
100	72	7	3	7
100	73	6	2	6
100	74	6	4	6
100	75	6	2	6
100	76	7	5	7
100	77	7	2	7
100	78	8	3	8
100	79	7	5	7
100	80	7	2	7
100	81	7	2	7
100	82	6	4	6
100	83	8	4	8
100	84	7	5	7
100	85	7	3	7
100	86	7	2	7
100	87	6	4	6
100	88	7	4	7
100	89	7	4	7
100	90	7	3	7
100	91	5	3	5
100	92	8	2	8
100	93	7	3	7
100	94	8	3	8
100	95	6	0	6
100	96	7	2	7
100	97	6	3	6
100	98	8	3	8
100	99	8	4	8
100	100	8	4	8
110	1	8	0	8
110	2	8	0	8
110	3	9	0	9
110	4	7	0	7
110	5	9	0	9
110	6	8	2	8
110	7	8	1	8
110	8	7	0	7
110	9	8	1	8
110	10	8	0	8
110	11	9	2	9
110	12	9	1	9
110	13	9	1	9
110	14	7	0	7
110	15	8	2	8
110	16	7	2	7
110	17	8	2	8
110	18	8	0	8
110	19	7	3	7
110	20	8	0	8
110	21	6	2	6
110	22	8	1	8
110	23	6	2	6
110	24	8	1	8
110	25	7	1	7
110	26	7	2	7
110	27	8	0	8
110	28	8	3	8
110	29	9	1	9
110	30	7	0	7
110	31	8	3	8
110	32	7	1	7
110	33	8	3	8
110	34	6	1	6
110	35	7	2	7
110	36	8	1	8
110	37	6	1	6
110	38	7	2	7
110	39	7	0	7
110	40	7	2	7
110	41	7	1	7
110	42	8	3	8
110	43	7	3	7
110	44	9	2	9
110	45	7	2	7
110	46	7	1	7
110	47	6	0	6
110	48	7	1	7
110	49	8	2	8
110	50	9	5	9
110	51	7	4	7
110	52	7	0	7
110	53	7	3	7
110	54	6	1	6
110	55	8	6	8
110	56	8	5	8
110	57	6	3	6
110	58	7	3	7
110	59	7	3	7
110	60	6	1	6
110	61	6	2	6
110	62	7	1	7
110	63	6	1	6
110	64	8	2	8
110	65	7	2	7
110	66	8	4	8
110	67	7	1	7
110	68	7	2	7
110	69	7	4	7
110	70	8	2	8
110	71	8	3	8
110	72	7	1	7
110	73	7	1	7
110	74	8	2	8
110	75	8	1	8
110	76	7	3	7
110	77	6	2	6
110	78	7	1	7
110	79	8	3	8
110	80	7	4	7
110	81	8	3	8
110	82	7	3	7
110	83	7	2	7
110	84	7	2	7
110	85	9	4	9
110	86	7	3	7
110	87	7	4	7
110	88	7	3	7
110	89	7	3	7
110	90	6	2	6
110	91	6	2	6
110	92	7	1	7
110	93	7	2	7
110	94	5	3	5
110	95	5	4	5
110	96	7	2	7
110	97	6	4	6
110	98	7	6	7
110	99	8	2	8
110	100	7	4	7
110	101	6	3	6
110	102	6	4	6
110	103	6	3	6
110	104	6	1	6
110	105	6	4	6
110	106	7	5	7
110	107	6	2	6
110	108	7	3	7
110	109	6	4	6
110	110	6	0	6
120	1	8	0	8
120	2	8	0	8
120	3	8	0	8
120	4	9	0	9
120	5	9	0	9
120	6	8	0	8
120	7	8	1	8
120	8	9	0	9
120	9	8	0	8
120	10	8	2	8
120	11	8	0	8
120	12	8	0	8
120	13	8	3	8
120	14	7	0	7
120	15	9	1	9
120	16	8	1	8
120	17	8	3	8
120	18	7	2	7
120	19	8	2	8
120	20	8	0	8
120	21	7	2	7
120	22	7	1	7
120	23	6	2	6
120	24	8	0	8
120	25	9	2	9
120	26	6	0	6
120	27	9	1	9
120	28	7	0	7
120	29	7	1	7
120	30	7	3	7
120	31	6	2	6
120	32	7	2	7
120	33	8	5	8
120	34	7	3	7
120	35	7	2	7
120	36	7	2	7
120	37	8	3	8
120	38	8	2	8
120	39	8	2	8
120	40	7	1	7
120	41	8	3	8
120	42	6	1	6
120	43	7	0	7
120	44	7	2	7
120	45	6	3	6
120	46	7	2	7
120	47	7	3	7
120	48	7	1	7
120	49	9	2	9
120	50	8	4	8
120	51	6	2	6
120	52	7	1	7
120	53	8	5	8
120	54	7	2	7
120	55	8	3	8
120	56	7	3	7
120	57	8	1	8
120	58	6	3	6
120	59	7	3	7
120	60	7	3	7
120	61	9	4	9
120	62	7	2	7
120	63	7	2	7
120	64	7	4	7
120	65	6	1	6
120	66	6	1	6
120	67	7	1	7
120	68	9	4	9
120	69	6	3	6
120	70	8	2	8
120	71	6	2	6
120	72	7	4	7
120	73	7	4	7
120	74	6	3	6
120	75	9	4	9
120	76	7	2	7
120	77	7	2	7
120	78	7	3	7
120	79	6	1	6
120	80	7	2	7
120	81	7	4	7
120	82	6	4	6
120	83	6	2	6
120	84	7	2	7
120	85	6	3	6
120	86	6	1	6
120	87	8	4	8
120	88	6	4	6
120	89	8	7	8
120	90	6	2	6
120	91	7	3	7
120	92	7	4	7
120	93	8	4	8
120	94	7	3	7
120	95	6	2	6
120	96	6	3	6
120	97	7	4	7
120	98	8	3	8
120	99	5	2	5
120	100	7	3	7
120	101	8	6	8
120	102	6	4	6
120	103	7	4	7
120	104	9	7	9
120	105	6	3	6
120	106	7	2	7
120	107	7	4	7
120	108	7	3	7
120	109	7	4	7
120	110	7	4	7
120	111	6	3	6
120	112	6	2	6
120	113	7	4	7
120	114	7	1	7
120	115	7	3	7
120	116	7	6	7
120	117	7	4	7
120	118	5	1	5
120	119	6	3	6
120	120	8	2	8
130	1	8	0	8
130	2	8	0	8
130	3	8	0	8
130	4	8	1	8
130	5	8	1	8
130	6	9	0	9
130	7	8	0	8
130	8	8	1	8
130	9	8	1	8
130	10	7	0	7
130	11	8	0	8
130	12	8	0	8
130	13	8	1	8
130	14	7	0	7
130	15	7	0	7
130	16	7	1	7
130	17	7	1	7
130	18	9	0	9
130	19	7	2	7
130	20	7	0	7
130	21	8	1	8
130	22	9	2	9
130	23	6	2	6
130	24	7	0	7
130	25	9	1	9
130	26	8	2	8
130	27	9	2	9
130	28	8	4	8
130	29	7	0	7
130	30	7	0	7
130	31	8	3	8
130	32	7	0	7
130	33	7	2	7
130	34	8	2	8
130	35	7	4	7
130	36	7	1	7
130	37	7	3	7
130	38	6	1	6
130	39	8	2	8
130	40	8	3	8
130	41	7	3	7
130	42	7	4	7
130	43	8	3	8
130	44	7	1	7
130	45	8	3	8
130	46	7	1	7
130	47	8	3	8
130	48	7	2	7
130	49	8	1	8
130	50	6	1	6
130	51	8	4	8
130	52	8	4	8
130	53	7	2	7
130	54	6	1	6
130	55	7	4	7
130	56	7	4	7
130	57	7	3	7
130	58	7	3	7
130	59	7	3	7
130	60	8	5	8
130	61	8	2	8
130	62	8	5	8
130	63	6	3	6
130	64	6	2	6
130	65	9	4	9
130	66	9	5	9
130	67	6	2	6
130	68	7	2	7
130	69	7	6	7
130	70	7	2	7
130	71	6	4	6
130	72	6	1	6
130	73	8	5	8
130	74	7	5	7
130	75	8	6	8
130	76	7	2	7
130	77	7	3	7
130	78	7	2	7
130	79	8	5	8
130	80	6	4	6
130	81	8	1	8
130	82	6	2	6
130	83	7	6	7
130	84	7	3	7
130	85	6	0	6
130	86	6	3	6
130	87	7	3	7
130	88	6	4	6
130	89	8	5	8
130	90	7	5	7
130	91	8	2	8
130	92	8	4	8
130	93	6	3	6
130	94	6	4	6
130	95	6	2	6
130	96	7	1	7
130	97	5	3	5
130	98	7	3	7
130	99	7	4	7
130	100	7	4	7
130	101	7	4	7
130	102	7	3	7
130	103	7	6	7
130	104	7	3	7
130	105	7	3	7
130	106	6	3	6
130	107	6	5	6
130	108	6	2	6
130	109	6	3	6
130	110	8	3	8
130	111	7	4	7
130	112	7	5	7
130	113	6	3	6
130	114	7	1	7
130	115	7	2	7
130	116	6	4	6
130	117	5	2	5
130	118	6	4	6
130	119	6	4	6
130	120	7	2	7
130	121	7	5	7
130	122	7	4	7
130	123	6	3	6
130	124	6	5	6
130	125	7	2	7
130	126	7	4	7
130	127	6	4	6
130	128	7	0	7
130	129	6	3	6
130	130	6	1	6
140	1	7	0	7
140	2	8	0	8
140	3	8	0	8
140	4	9	0	9
140	5	8	1	8
140	6	8	0	8
140	7	7	0	7
140	8	9	0	9
140	9	9	1	9
140	10	8	0	8
140	11	8	0	8
140	12	7	0	7
140	13	7	1	7
140	14	7	1	7
140	15	7	1	7
140	16	8	2	8
140	17	8	0	8
140	18	7	2	7
140	19	6	0	6
140	20	8	2	8
140	21	6	1	6
140	22	8	2	8
140	23	7	0	7
140	24	8	3	8
140	25	8	1	8
140	26	9	1	9
140	27	8	2	8
140	28	7	2	7
140	29	7	2	7
140	30	8	2	8
140	31	8	2	8
140	32	7	1	7
140	33	7	2	7
140	34	8	4	8
140	35	7	2	7
140	36	7	2	7
140	37	6	4	6
140	38	8	2	8
140	39	7	2	7
140	40	7	3	7
140	41	7	1	7
140	42	8	4	8
140	43	8	4	8
140	44	7	2	7
140	45	8	2	8
140	46	7	0	7
140	47	8	4	8
140	48	7	2	7
140	49	6	1	6
140	50	8	2	8
140	51	8	3	8
140	52	6	2	6
140	53	8	4	8
140	54	7	4	7
140	55	7	3	7
140	56	8	1	8
140	57	8	3	8
140	58	6	3	6
140	59	6	3	6
140	60	7	2	7
140	61	6	1	6
140	62	8	3	8
140	63	7	2	7
140	64	7	3	7
140	65	7	2	7
140	66	6	2	6
140	67	7	1	7
140	68	8	5	8
140	69	5	2	5
140	70	7	1	7
140	71	7	1	7
140	72	8	2	8
140	73	5	2	5
140	74	9	3	9
140	75	5	1	5
140	76	8	3	8
140	77	6	1	6
140	78	7	3	7
140	79	7	5	7
140	80	8	4	8
140	81	6	2	6
140	82	7	3	7
140	83	8	3	8
140	84	6	4	6
140	85	6	2	6
140	86	8	5	8
140	87	7	2	7
140	88	5	1	5
140	89	6	2	6
140	90	7	4	7
140	91	6	2	6
140	92	6	2	6
140	93	7	3	7
140	94	7	3	7
140	95	6	3	6
140	96	7	3	7
140	97	7	4	7
140	98	7	6	7
140	99	8	5	8
140	100	6	4	6
140	101	5	1	5
140	102	7	4	7
140	103	7	3	7
140	104	6	3	6
140	105	7	4	7
140	106	7	3	7
140	107	7	4	7
140	108	8	6	8
140	109	7	3	7
140	110	7	1	7
140	111	6	4	6
140	112	5	2	5
140	113	7	3	7
140	114	7	5	7
140	115	7	4	7
140	116	6	5	6
140	117	7	2	7
140	118	8	2	8
140	119	8	5	8
140	120	7	2	7
140	121	6	4	6
140	122	6	3	6
140	123	7	4	7
140	124	5	4	5
140	125	8	6	8
140	126	5	3	5
140	127	7	3	7
140	128	7	3	7
140	129	8	4	8
140	130	7	2	7
140	131	7	5	7
140	132	7	1	7
140	133	7	4	7
140	134	7	4	7
140	135	4	2	4
140	136	6	3	6
140	137	6	4	6
140	138	6	4	6
140	139	7	1	7
140	140	9	4	9
150	1	8	0	8
150	2	9	0	9
150	3	9	0	9
150	4	7	0	7
150	5	8	0	8
150	6	8	0	8
150	7	8	0	8
150	8	8	2	8
150	9	7	1	7
150	10	7	0	7
150	11	8	0	8
150	12	7	2	7
150	13	7	1	7
150	14	8	1	8
150	15	8	1	8
150	16	9	1	9
150	17	8	2	8
150	18	7	1	7
150	19	8	0	8
150	20	7	1	7
150	21	8	3	8
150	22	7	3	7
150	23	7	1	7
150	24	8	0	8
150	25	8	2	8
150	26	8	0	8
150	27	6	2	6
150	28	8	0	8
150	29	7	1	7
150	30	7	0	7
150	31	7	1	7
150	32	8	2	8
150	33	9	3	9
150	34	7	3	7
150	35	6	2	6
150	36	8	2	8
150	37	7	1	7
150	38	7	3	7
150	39	7	1	7
150	40	7	2	7
150	41	8	4	8
150	42	7	0	7
150	43	8	1	8
150	44	7	3	7
150	45	7	1	7
150	46	7	4	7
150	47	8	1	8
150	48	8	5	8
150	49	7	2	7
150	50	6	2	6
150	51	7	2	7
150	52	7	0	7
150	53	8	3	8
150	54	7	4	7
150	55	6	1	6
150	56	6	2	6
150	57	7	2	7
150	58	8	5	8
150	59	8	2	8
150	60	8	4	8
150	61	7	3	7
150	62	8	2	8
150	63	7	3	7
150	64	8	3	8
150	65	7	1	7
150	66	9	5	9
150	67	6	2	6
150	68	7	2	7
150	69	7	4	7
150	70	7	4	7
150	71	7	2	7
150	72	6	3	6
150	73	6	3	6
150	74	6	2	6
150	75	5	2	5
150	76	8	2	8
150	77	7	1	7
150	78	7	3	7
150	79	6	2	6
150	80	5	0	5
150	81	5	1	5
150	82	7	2	7
150	83	7	2	7
150	84	7	2	7
150	85	7	5	7
150	86	6	4	6
150	87	7	4	7
150	88	7	2	7
150	89	7	3	7
150	90	7	5	7
150	91	5	0	5
150	92	7	4	7
150	93	7	5	7
150	94	7	4	7
150	95	7	1	7
150	96	8	3	8
150	97	6	5	6
150	98	7	1	7
150	99	7	0	7
150	100	6	3	6
150	101	6	2	6
150	102	9	4	9
150	103	7	3	7
150	104	6	3	6
150	105	6	2	6
150	106	7	2	7
150	107	8	4	8
150	108	8	1	8
150	109	6	2	6
150	110	7	3	7
150	111	6	4	6
150	112	7	5	7
150	113	7	6	7
150	114	6	5	6
150	115	7	2	7
150	116	8	5	8
150	117	4	2	4
150	118	6	2	6
150	119	7	3	7
150	120	6	2	6
150	121	7	4	7
150	122	7	4	7
150	123	7	4	7
150	124	7	6	7
150	125	7	3	7
150	126	7	2	7
150	127	8	6	8
150	128	6	2	6
150	129	7	3	7
150	130	7	3	7
150	131	8	5	8
150	132	6	3	6
150	133	5	4	5
150	134	8	3	8
150	135	8	5	8
150	136	8	6	8
150	137	6	4	6
150	138	8	6	8
150	139	7	4	7
150	140	6	3	6
150	141	7	2	7
150	142	8	5	8
150	143	7	5	7
150	144	6	4	6
150	145	8	2	8
150	146	7	2	7
150	147	6	3	6
150	148	6	3	6
150	149	6	1	6
150	150	8	5	8
160	1	8	0	8
160	2	8	0	8
160	3	8	0	8
160	4	6	0	6
160	5	7	0	7
160	6	8	0	8
160	7	9	0	9
160	8	8	1	8
160	9	8	2	8
160	10	7	0	7
160	11	8	0	8
160	12	6	0	6
160	13	8	0	8
160	14	8	0	8
160	15	8	0	8
160	16	7	1	7
160	17	8	1	8
160	18	7	0	7
160	19	9	1	9
160	20	8	1	8
160	21	8	2	8
160	22	8	3	8
160	23	7	1	7
160	24	7	2	7
160	25	7	1	7
160	26	8	2	8
160	27	7	0	7
160	28	8	1	8
160	29	8	2	8
160	30	8	2	8
160	31	7	3	7
160	32	8	1	8
160	33	8	0	8
160	34	8	2	8
160	35	6	2	6
160	36	6	3	6
160	37	7	2	7
160	38	7	2	7
160	39	8	1	8
160	40	7	2	7
160	41	6	2	6
160	42	9	2	9
160	43	6	2	6
160	44	8	2	8
160	45	7	2	7
160	46	8	3	8
160	47	6	1	6
160	48	7	2	7
160	49	8	3	8
160	50	9	4	9
160	51	9	6	9
160	52	8	3	8
160	53	8	2	8
160	54	7	2	7
160	55	6	1	6
160	56	6	2	6
160	57	6	3	6
160	58	8	3	8
160	59	3	2	3
160	60	7	2	7
160	61	5	1	5
160	62	7	1	7
160	63	7	3	7
160	64	7	4	7
160	65	7	0	7
160	66	7	3	7
160	67	6	4	6
160	68	8	3	8
160	69	6	1	6
160	70	7	3	7
160	71	6	1	6
160	72	7	2	7
160	73	8	2	8
160	74	6	1	6
160	75	7	2	7
160	76	6	2	6
160	77	7	3	7
160	78	7	3	7
160	79	6	2	6
160	80	7	4	7
160	81	7	4	7
160	82	5	4	5
160	83	8	3	8
160	84	6	3	6
160	85	5	2	5
160	86	7	2	7
160	87	7	2	7
160	88	6	5	6
160	89	8	3	8
160	90	5	1	5
160	91	7	5	7
160	92	6	1	6
160	93	7	4	7
160	94	6	4	6
160	95	5	1	5
160	96	6	1	6
160	97	8	5	8
160	98	7	5	7
160	99	6	2	6
160	100	7	3	7
160	101	6	2	6
160	102	8	5	8
160	103	7	3	7
160	104	7	2	7
160	105	6	4	6
160	106	6	2	6
160	107	7	1	7
160	108	6	2	6
160	109	6	2	6
160	110	8	4	8
160	111	9	5	9
160	112	7	1	7
160	113	6	4	6
160	114	6	4	6
160	115	4	2	4
160	116	6	3	6
160	117	6	2	6
160	118	6	3	6
160	119	6	3	6
160	120	8	3	8
160	121	8	3	8
160	122	6	2	6
160	123	5	1	5
160	124	5	2	5
160	125	7	3	7
160	126	7	3	7
160	127	8	6	8
160	128	7	6	7
160	129	6	3	6
160	130	6	2	6
160	131	7	3	7
160	132	5	2	5
160	133	6	2	6
160	134	7	4	7
160	135	7	5	7
160	136	5	3	5
160	137	7	4	7
160	138	7	2	7
160	139	7	6	7
160	140	7	2	7
160	141	6	1	6
160	142	5	2	5
160	143	6	3	6
160	144	6	6	6
160	145	8	5	8
160	146	8	6	8
160	147	7	4	7
160	148	5	3	5
160	149	7	3	7
160	150	7	5	7
160	151	7	3	7
160	152	7	6	7
160	153	8	4	8
160	154	7	3	7
160	155	6	5	6
160	156	6	5	6
160	157	6	5	6
160	158	7	3	7
160	159	7	4	7
160	160	6	3	6
170	1	9	0	9
170	2	8	0	8
170	3	7	0	7
170	4	8	0	8
170	5	9	0	9
170	6	8	0	8
170	7	7	0	7
170	8	6	0	6
170	9	8	1	8
170	10	8	0	8
170	11	9	3	9
170	12	8	0	8
170	13	8	2	8
170	14	7	2	7
170	15	7	1	7
170	16	8	1	8
170	17	8	2	8
170	18	8	2	8
170	19	6	2	6
170	20	8	2	8
170	21	8	2	8
170	22	8	0	8
170	23	8	3	8
170	24	7	0	7
170	25	9	2	9
170	26	8	1	8
170	27	8	4	8
170	28	7	3	7
170	29	6	1	6
170	30	8	2	8
170	31	8	3	8
170	32	8	1	8
170	33	8	5	8
170	34	9	2	9
170	35	6	3	6
170	36	7	1	7
170	37	7	3	7
170	38	8	2	8
170	39	7	1	7
170	40	8	3	8
170	41	7	1	7
170	42	7	3	7
170	43	8	3	8
170	44	7	1	7
170	45	7	0	7
170	46	8	5	8
170	47	7	3	7
170	48	7	3	7
170	49	7	2	7
170	50	7	1	7
170	51	7	3	7
170	52	8	1	8
170	53	7	2	7
170	54	7	2	7
170	55	7	4	7
170	56	5	1	5
170	57	7	2	7
170	58	8	1	8
170	59	8	3	8
170	60	8	3	8
170	61	6	1	6
170	62	7	4	7
170	63	7	5	7
170	64	8	4	8
170	65	9	4	9
170	66	8	3	8
170	67	7	4	7
170	68	6	2	6
170	69	7	3	7
170	70	9	3	9
170	71	7	2	7
170	72	7	1	7
170	73	8	4	8
170	74	7	1	7
170	75	5	3	5
170	76	7	2	7
170	77	6	2	6
170	78	6	3	6
170	79	7	2	7
170	80	7	2	7
170	81	7	1	7
170	82	7	4	7
170	83	7	3	7
170	84	8	5	8
170	85	7	2	7
170	86	7	3	7
170	87	8	4	8
170	88	6	2	6
170	89	7	4	7
170	90	5	3	5
170	91	6	2	6
170	92	6	2	6
170	93	7	2	7
170	94	6	3	6
170	95	7	3	7
170	96	6	3	6
170	97	7	3	7
170	98	7	3	7
170	99	7	3	7
170	100	7	2	7
170	101	7	4	7
170	102	6	3	6
170	103	7	5	7
170	104	7	4	7
170	105	7	4	7
170	106	8	5	8
170	107	6	3	6
170	108	7	4	7
170	109	7	6	7
170	110	8	2	8
170	111	8	5	8
170	112	7	3	7
170	113	7	3	7
170	114	5	0	5
170	115	7	3	7
170	116	6	3	6
170	117	7	4	7
170	118	8	4	8
170	119	6	3	6
170	120	7	5	7
170	121	7	4	7
170	122	7	3	7
170	123	7	3	7
170	124	8	6	8
170	125	8	5	8
170	126	6	4	6
